datetime,prec_mm,tavg_degc,swe_mm,flow_cms
2020-09-13,0.0,14.100000000000001,0.0,9.769668467411915
2020-09-14,0.0,14.100000000000001,0.0,9.656396948949167
2020-09-15,0.0,12.700000000000001,0.0,9.514807550870733
2020-09-16,0.0,12.8,0.0,9.571443310102106
2020-09-17,0.0,16.0,0.0,9.54312543048642
2020-09-18,12.7,10.1,0.0,9.514807550870733
2020-09-19,0.0,5.699999999999999,0.0,11.043973050117815
2020-09-20,0.0,5.6,0.0,10.732476374345262
2020-09-21,0.0,9.200000000000001,0.0,10.279390300494274
2020-09-22,0.0,10.2,0.0,10.052847263568781
2020-09-23,0.0,11.600000000000001,0.0,9.911257865490347
2020-09-24,0.0,8.7,0.0,9.854622106258974
2020-09-25,10.16,6.700000000000002,0.0,10.024529383953094
2020-09-26,7.619999999999999,3.4999999999999987,0.0,11.52537700358449
2020-09-27,0.0,2.6,0.0,11.808555799741358
2020-09-28,0.0,6.099999999999999,0.0,10.675840615113888
2020-09-29,0.0,8.2,0.0,10.534251217035456
2020-09-30,0.0,9.500000000000002,0.0,10.30770818010996
2020-10-01,0.0,9.500000000000002,0.0,10.109483022800154
2020-10-02,0.0,8.7,0.0,10.024529383953094
2020-10-03,0.0,8.399999999999999,0.0,9.996211504337408
2020-10-04,0.0,10.4,0.0,9.911257865490347
2020-10-05,0.0,8.1,0.0,9.854622106258974
2020-10-06,0.0,8.499999999999998,0.0,9.88293998587466
2020-10-07,0.0,8.399999999999999,0.0,9.88293998587466
2020-10-08,0.0,9.100000000000001,0.0,9.826304226643288
2020-10-09,0.0,8.499999999999998,0.0,9.797986347027601
2020-10-10,38.099999999999994,3.800000000000002,0.0,10.30770818010996
2020-10-11,5.08,-1.3,5.08,15.942966223631617
2020-10-12,2.54,3.299999999999999,10.16,12.573138549364899
2020-10-13,2.54,5.3999999999999995,7.619999999999999,12.063416716282537
2020-10-14,0.0,-0.1999999999999997,7.619999999999999,13.026224623215885
2020-10-15,0.0,-1.3,5.08,12.261641873592344
2020-10-16,0.0,4.800000000000001,5.08,11.52537700358449
2020-10-17,0.0,5.2,5.08,11.27051608704331
2020-10-18,0.0,5.1,5.08,11.043973050117815
2020-10-19,0.0,4.9,5.08,10.93070153165507
2020-10-20,0.0,4.000000000000002,5.08,10.789112133576635
2020-10-21,0.0,0.0,5.08,10.732476374345262
2020-10-22,0.0,-6.900000000000001,5.08,10.562569096651142
2020-10-23,0.0,-2.5,5.08,10.50593333741977
2020-10-24,10.16,-3.200000000000001,5.08,10.93070153165507
2020-10-25,0.0,-11.100000000000001,15.239999999999998,11.27051608704331
2020-10-26,0.0,-7.4,15.239999999999998,9.967893624721722
2020-10-27,0.0,-1.0000000000000004,15.239999999999998,10.50593333741977
2020-10-28,0.0,1.300000000000002,15.239999999999998,10.817430013192322
2020-10-29,0.0,2.9999999999999996,15.239999999999998,10.704158494729576
2020-10-30,0.0,4.000000000000002,15.239999999999998,10.562569096651142
2020-10-31,0.0,-0.700000000000001,15.239999999999998,10.50593333741977
2020-11-01,0.0,2.000000000000001,15.239999999999998,10.336026059725649
2020-11-02,0.0,3.900000000000002,15.239999999999998,10.336026059725649
2020-11-03,0.0,5.0,15.239999999999998,10.336026059725649
2020-11-04,0.0,5.1,15.239999999999998,10.30770818010996
2020-11-05,0.0,5.699999999999999,15.239999999999998,10.279390300494274
2020-11-06,0.0,5.3999999999999995,15.239999999999998,10.279390300494274
2020-11-07,2.54,1.7000000000000013,15.239999999999998,10.30770818010996
2020-11-08,2.54,-8.5,17.779999999999998,10.760794253960949
2020-11-09,0.0,-10.7,20.32,10.477615457804081
2020-11-10,17.779999999999998,-8.200000000000001,20.32,10.194436661647215
2020-11-11,5.08,-9.3,38.099999999999994,11.015655170502129
2020-11-12,0.0,-12.100000000000001,40.64,9.45817179163936
2020-11-13,50.8,-6.3,40.64,8.268820847780518
2020-11-14,10.16,-8.200000000000001,91.44,9.797986347027601
2020-11-15,20.32,-2.5,101.6,12.12005247551391
2020-11-16,5.08,0.5999999999999991,121.91999999999999,12.205006114360971
2020-11-17,10.16,3.199999999999999,124.46000000000001,12.743045827059019
2020-11-18,38.099999999999994,-1.7999999999999992,132.07999999999998,18.463257509427734
2020-11-19,17.779999999999998,-6.8,167.64,19.907469369827755
2020-11-20,0.0,-14.1,185.42,14.640343761310028
2020-11-21,0.0,-13.600000000000001,185.42,10.817430013192322
2020-11-22,0.0,-8.4,185.42,7.8440526535452175
2020-11-23,0.0,-9.100000000000001,185.42,9.996211504337408
2020-11-24,0.0,-9.8,185.42,10.109483022800154
2020-11-25,5.08,-7.8999999999999995,185.42,9.967893624721722
2020-11-26,0.0,-12.3,187.96,9.684714828564854
2020-11-27,0.0,-10.3,187.96,8.212185088549145
2020-11-28,0.0,-8.8,187.96,8.325456607011892
2020-11-29,0.0,-8.4,187.96,8.636953282784445
2020-11-30,2.54,-5.900000000000001,187.96,11.128926688964876
2020-12-01,0.0,-11.4,190.5,12.346595512439404
2020-12-02,0.0,-8.200000000000001,190.5,10.420979698572708
2020-12-03,0.0,-7.4,190.5,10.619204855882515
2020-12-04,0.0,-7.1000000000000005,190.5,11.582012762815863
2020-12-05,0.0,-0.5999999999999991,190.5,12.035098836666851
2020-12-06,0.0,-5.499999999999999,190.5,13.734171613608053
2020-12-07,0.0,-5.0,190.5,12.573138549364899
2020-12-08,0.0,-2.1000000000000005,190.5,12.856317345521765
2020-12-09,0.0,-4.299999999999999,190.5,13.139496141678633
2020-12-10,0.0,-11.200000000000001,190.5,13.196131900910006
2020-12-11,0.0,-11.600000000000001,190.5,13.196131900910006
2020-12-12,0.0,-17.0,190.5,12.912953104753138
2020-12-13,10.16,-10.1,190.5,12.573138549364899
2020-12-14,0.0,-10.899999999999999,200.66,12.601456428980585
2020-12-15,2.54,-7.8999999999999995,200.66,12.431549151286465
2020-12-16,10.16,-4.299999999999999,203.2,13.309403419372753
2020-12-17,17.779999999999998,-5.2,210.82,12.573138549364899
2020-12-18,0.0,-6.900000000000001,228.6,11.327151846274683
2020-12-19,2.54,-4.700000000000001,228.6,10.704158494729576
2020-12-20,20.32,-0.5999999999999991,231.14,10.704158494729576
2020-12-21,5.08,0.699999999999999,248.92000000000002,14.130621928227667
2020-12-22,7.619999999999999,-9.200000000000001,251.46,16.14119138094142
2020-12-23,0.0,-14.400000000000002,259.08,13.167814021294319
2020-12-24,0.0,-7.4,259.08,10.251072420878588
2020-12-25,5.08,-4.299999999999999,259.08,11.610330642431549
2020-12-26,27.94,-5.3,261.62,14.810251039004148
2020-12-27,0.0,-13.8,289.56,12.233323993976658
2020-12-28,0.0,-12.4,289.56,9.684714828564854
2020-12-29,0.0,-10.7,289.56,9.401536032407988
2020-12-30,5.08,-6.699999999999999,289.56,11.298833966658997
2020-12-31,2.54,-6.5,292.09999999999997,13.139496141678633
2021-01-01,0.0,-8.0,294.64,12.205006114360971
2021-01-02,5.08,-5.900000000000001,294.64,11.242198207427622
2021-01-03,17.779999999999998,-4.299999999999999,299.72,11.128926688964876
2021-01-04,35.559999999999995,-3.8000000000000003,317.5,10.959019411270756
2021-01-05,2.54,-9.500000000000002,353.06,11.327151846274683
2021-01-06,5.08,-5.900000000000001,355.59999999999997,10.647522735498201
2021-01-07,2.54,-7.6000000000000005,360.67999999999995,10.647522735498201
2021-01-08,2.54,-8.5,363.21999999999997,10.619204855882515
2021-01-09,0.0,-12.6,365.76,10.194436661647215
2021-01-10,0.0,-10.3,365.76,9.769668467411915
2021-01-11,0.0,-6.2,365.76,8.891814199325626
2021-01-12,25.4,-2.6999999999999997,365.76,9.316582393560926
2021-01-13,17.779999999999998,-4.6000000000000005,391.15999999999997,13.252767660141378
2021-01-14,0.0,-8.4,408.94,13.649217974760992
2021-01-15,7.619999999999999,-1.5999999999999994,408.94,13.111178262062946
2021-01-16,0.0,-5.900000000000001,411.47999999999996,13.59258221552962
2021-01-17,0.0,-3.8000000000000003,411.47999999999996,12.403231271670778
2021-01-18,0.0,-11.3,411.47999999999996,11.666966401662924
2021-01-19,0.0,-14.1,411.47999999999996,10.534251217035456
